TIME,bikes taken
2020-01-23,0.44672461854460094
2020-01-26,0.5190354189140597
2020-01-29,0.46771980213818415
2020-02-01,0.2888315494393476
2020-02-04,0.4635363574583758
2020-02-07,0.25727361535847776
2020-02-10,0.4109114848793748
2020-02-13,0.35804238871899424
2020-02-16,0.3333758069996602
2020-02-19,0.4151588515120625
2020-02-22,0.27672655453618755
2020-02-25,0.4476817540846295
2020-02-28,0.2623106060606061
2020-03-02,0.4484111952861953
2020-03-05,0.3715698653198653
2020-03-08,0.3147411616161616
2020-03-11,0.36341540404040407
2020-03-14,0.18235294117647058
2020-03-17,0.20165080820818526
2020-03-20,0.1467382154882155
2020-03-23,0.16886574074074073
2020-03-26,0.12490530303030303
2020-03-29,0.08142887205387206
2020-04-01,0.09790614478114477
2020-04-04,0.08743686868686869
